sha1,varchar(64)
playerid,int(11)
gameid,int(11)
player1noquote,varbinary(128)
GameDate,date
GameVersion,varbinary(128)
ladderseason,varbinary(128)
TimeOfDay,time
Speed,varbinary(128)
Format,varchar(128)
is_competitive,varbinary(128)
GameType,varbinary(128)
MapName,varbinary(128)
WinLoss,float
MaxGameTimeStamp,float
MaxPlayerTimeStamp,float
APM,float
SurveyPlayerRace,varbinary(128)
numonplayerteam,float
totalplayers,float
OpponentMatchup,varbinary(128)
AllyMatchup,varbinary(128)
FailedActionPerMin,float
MapRCPerMin,float
MapAtkPerMin,float
MapAblPerMin,float
AtkPerMin,float
MapAtkProportion,float
FailsTimeWasteSeconds,float
FailsSectionsCount,float
FocusRcPerMin,float
FocusAtkPerMin,float
UniqueHotkeys,float
hotkeyassignpermin,float
hotkeyselectpermin,float
PACCount,float
PACContentsMean,float
PACDurationsMean,float
PACDurationsStd,float
PACActionLatencyMax,float
PACActionLatencyStd,float
PACActionLatencyMean,float
MeanPACActionDiffMean,float
MeanPACActionDiffStd,float
MeanPACActionDiffMax,float
MeanPACActionDiffMin,float
NonPacFixDurationsMean,float
NonPacFixDurationsStd,float
PacableActionsOutsidePacProp,float
LatencyToFixationMean,float
LatencyToFixationStd,float
ActionTypeFirstALatencyMean,float
ActionTypeFirstALatencyStd,float
ActionTypeOtherALatencyMean,float
ActionTypeOtherALatencyStd,float
ActionTypeFirstATKLatencyMean,float
ActionTypeFirstATKLatencyStd,float
ActionTypeOtherATKLatencyMean,float
ActionTypeOtherATKLatencyStd,float
ActionTypeFirstBLatencyMean,float
ActionTypeFirstBLatencyStd,float
ActionTypeOtherBLatencyMean,float
ActionTypeOtherBLatencyStd,float
ActionTypeFirstFLatencyMean,float
ActionTypeFirstFLatencyStd,float
ActionTypeOtherFLatencyMean,float
ActionTypeOtherFLatencyStd,float
ActionTypeFirstHKLatencyMean,float
ActionTypeFirstHKLatencyStd,float
ActionTypeOtherHKLatencyMean,float
ActionTypeOtherHKLatencyStd,float
ActionTypeFirstMAPRCCLICKLatencyMean,float
ActionTypeFirstMAPRCCLICKLatencyStd,float
ActionTypeOtherMAPRCCLICKLatencyMean,float
ActionTypeOtherMAPRCCLICKLatencyStd,float
ActionTypeFirstMAPATKLatencyMean,float
ActionTypeFirstMAPATKLatencyStd,float
ActionTypeOtherMAPATKLatencyMean,float
ActionTypeOtherMAPATKLatencyStd,float
ActionTypeFirstMAPABLLatencyMean,float
ActionTypeFirstMAPABLLatencyStd,float
ActionTypeOtherMAPABLLatencyMean,float
ActionTypeOtherMAPABLLatencyStd,float
ActionTypeFirstTRLatencyMean,float
ActionTypeFirstTRLatencyStd,float
ActionTypeOtherTRLatencyMean,float
ActionTypeOtherTRLatencyStd,float
ActionTypeFirstSELLatencyMean,float
ActionTypeFirstSELLatencyStd,float
ActionTypeOtherSELLatencyMean,float
ActionTypeOtherSELLatencyStd,float
DistanceBetweenPACsMean,float
DistanceBetweenFixationsMean,float
FixDurationMean,float
FixDurationMedian,float
FixDurationStd,float
FixCount,float
FixCountPerMin,float
PacCountOverFixCount,float
PACDurationMinusFixDuration,float
NewViewCost,float
ComplexAbilityPerMinGT,float
ComplexAbilityPerMinNoRepeatsGT,float
ComplexAbilityPerMinUT,float
ComplexAbilityPerMinNoRepeatsUT,float
WorkersTrainedPerMin,float
RcOffscreenAll,float
AtkOffscreenAll,float
RcPropOffscreenAll,float
AtkPropOffscreenAll,float
ComplexUnitsMade,float
BuildOrder,varbinary(128)
TrainOrderSurvey,varbinary(128)
TrainOrderOpp,varbinary(128)
ActionsQueuedPerMin,float
BuildsQueued,float
TotalQueued,float
PACPerMin,float
ComplexUnitsMadePerMin,float
APMStd,float
PACPerMinStd,float
WorkersTrainedPerMinStd,float
hotkeyassignperminStd,float
hotkeyselectperminStd,float
ComplexAbilityPerMinGTStd,float
ComplexUnitsMadePerMinStd,float
FailedActionPerMinStd,float
MapRCPerMinStd,float
MapAtkPerMinStd,float
MapAblPerMinStd,float
AtkPerMinStd,float
FocusRcPerMinStd,float
FocusAtkPerMinStd,float
ActionsQueuedPerMinStd,float
PACContentsMeanStd,float
DistanceBetweenPACsMeanStd,float
